Gene Id. ,Put1,Put2,Put3,Put avg Fold change,Put Log Fold change,P-val Put,tSpm1,tSpm2,tSpm3,tSpm avg Fold change,tSpm Log Fold change,P-val tSpm
AT4G15417,"3,66","2,34","3,24","3,08","1,62","1,31E-06","1,45","1,85","1,23","1,51","0,59",
AT5G25930,"3,12","2,55","3,55","3,07","1,62","0,00E+00","3,27","2,37","3,57","3,07","1,62","4,11E-15"
AT5G28630,"3,54","2,99","3,65","3,39","1,76","1,78E-06","3,10","2,22","3,18","2,84","1,50","1,33E-06"
AT1G05680,"3,16","2,28","3,12","2,85","1,51","6,41E-10","3,82","2,71","3,62","3,38","1,76","4,83E-11"
AT2G29500,"3,60","2,58","3,38","3,19","1,67","1,38E-09","1,67","1,55","1,30","1,51","0,59",
AT2G44380,"3,23","2,53","3,93","3,23","1,69","0,00E+00","3,98","2,36","3,48","3,27","1,71","0,00E+00"
AT5G03545,"3,28","2,86","3,69","3,28","1,71","1,14E-07","1,06","1,50","0,94","1,17","0,22",
AT5G66985,"3,77","2,27","3,26","3,10","1,63","1,22E-13","4,43","3,69","4,01","4,04","2,02","0,00E+00"
AT3G46280,"3,97","2,95","3,88","3,60","1,85","1,11E-16","3,79","2,65","3,97","3,47","1,80","0,00E+00"
AT4G02075,"3,76","2,54","3,51","3,27","1,71","6,07E-11","1,71","0,90","1,27","1,29","0,37",
AT5G60270,"3,92","2,33","3,67","3,31","1,72","0,00E+00","0,73","1,08","1,43","1,08","0,11",
AT1G16150,"3,37","2,53","3,78","3,23","1,69","4,52E-10","3,43","2,70","3,92","3,35","1,75","4,76E-14"
AT1G57750,"3,48","2,09","3,77","3,11","1,64","7,57E-09","1,48","0,64","2,01","1,38","0,46",
AT2G40095,"3,34","2,31","3,92","3,19","1,67","0,00E+00","2,38","0,60","1,27","1,41","0,50",
AT3G29034,"3,35","2,95","3,85","3,38","1,76","0,00E+00","1,65","0,94","0,86","1,15","0,20",
AT1G53885,"3,70","2,29","3,35","3,11","1,64","6,60E-08","1,04","1,02","2,47","1,51","0,60",
AT3G13760,"3,43","2,92","3,83","3,39","1,76","3,54E-13","4,97","3,40","4,56","4,31","2,11","0,00E+00"
AT5G05600,"4,00","2,35","3,97","3,44","1,78","2,48E-07","1,64","1,66","1,30","1,53","0,62",
AT1G17170,"3,80","2,68","3,72","3,40","1,77","0,00E+00","2,02","1,45","2,67","2,05","1,04","0,00E+00"
AT2G27660,"3,09","2,19","3,49","2,92","1,55","0,00E+00","3,90","2,76","3,09","3,25","1,70","0,00E+00"
AT4G04745,"3,77","2,75","3,02","3,18","1,67","3,04E-12","3,87","2,87","3,61","3,45","1,79","2,23E-10"
AT2G33380,"3,37","2,78","3,97","3,37","1,75","5,36E-10","1,61","1,30","0,85","1,26","0,33",
AT1G49032,"3,85","2,58","3,99","3,47","1,80","0,00E+00","1,91","1,91","0,36","1,39","0,48",
AT2G19800,"3,40","2,31","3,16","2,96","1,56","0,00E+00","3,55","2,15","3,42","3,04","1,61","0,00E+00"
AT4G13560,"3,31","2,11","3,37","2,93","1,55","9,96E-09","2,05","1,15","1,84","1,68","0,75",
AT5G49770,"3,27","2,59","3,12","2,99","1,58","3,67E-08","3,67","2,98","3,83","3,49","1,80","1,17E-07"
AT5G51440,"3,17","2,18","3,77","3,04","1,60","3,31E-10","2,26","1,41","1,35","1,67","0,74",
AT5G10946,"3,44","2,49","3,53","3,15","1,66","3,64E-09","1,62","0,69","1,65","1,32","0,40",
AT1G78340,"2,93","1,96","2,73","2,54","1,34","0,00E+00","3,96","2,84","3,61","3,47","1,79","0,00E+00"
AT3G07195,"2,23","1,43","2,43","2,03","1,02","2,44E-12","3,42","2,62","3,84","3,29","1,72","0,00E+00"
AT3G62420,"2,04","1,34","2,89","2,09","1,06","0,00E+00","0,80","1,98","1,84","1,54","0,62",
AT1G52200,"2,76","1,74","2,15","2,22","1,15","0,00E+00","3,42","2,51","3,36","3,10","1,63","0,00E+00"
AT2G33710,"2,57","1,60","2,53","2,23","1,16","4,13E-10","3,56","2,76","3,13","3,15","1,66","9,32E-10"
AT3G09940,"2,31","1,56","2,83","2,24","1,16","8,43E-12","1,30","1,51","1,46","1,42","0,51",
AT3G13610,"2,75","1,76","2,14","2,22","1,15","0,00E+00","3,28","2,51","3,06","2,95","1,56","1,05E-13"
AT4G37030,"2,77","1,05","2,29","2,04","1,03","3,55E-11","1,26","2,05","2,02","1,77","0,83",
AT5G37300,"2,11","1,88","2,93","2,31","1,21","2,84E-07","1,86","0,61","2,27","1,58","0,66",
AT1G63295,"2,67","1,56","2,58","2,27","1,18","3,49E-07","1,36","1,28","1,42","1,35","0,44",
AT2G46192,"2,30","1,80","2,64","2,25","1,17","1,28E-06","1,60","1,55","1,41","1,52","0,61",
AT3G02240,"2,34","1,79","2,90","2,34","1,23","1,75E-07","3,63","2,19","3,64","3,15","1,66","4,93E-09"
AT3G63380,"2,11","1,37","2,41","1,96","0,97","1,33E-09","2,38","1,65","2,34","2,12","1,09","5,36E-08"
AT4G17470,"2,29","1,47","2,51","2,09","1,06","1,69E-06","1,59","2,12","2,10","1,93","0,95",
AT4G20860,"2,95","1,23","2,39","2,19","1,13","0,00E+00","1,13","0,84","1,28","1,08","0,12",
AT1G05660,"2,36","1,92","2,94","2,41","1,27","8,24E-07","3,34","2,59","3,65","3,19","1,68","1,09E-12"
AT1G21110,"2,91","1,21","2,13","2,08","1,06","2,04E-09","3,02","2,58","3,05","2,88","1,53","0,00E+00"
AT1G34418,"2,56","1,94","2,51","2,34","1,23","0,00E+00","1,88","0,74","1,60","1,40","0,49",
AT2G27400,"2,52","1,24","2,88","2,21","1,15","1,39E-08","2,07","1,81","0,83","1,57","0,65",
AT3G10320,"2,04","1,87","2,04","1,98","0,99","2,27E-07","1,30","1,12","1,02","1,15","0,20",
AT1G53830,"-1,85","-2,24","-1,78","-1,96","-0,97","1,29E-08","1,12","0,92","1,89","1,31","0,39",
AT3G44260,"-1,95","-2,17","-1,56","-1,89","-0,92","1,08E-10","0,80","2,26","1,63","1,56","0,64",
AT2G28670,"-1,25","-2,58","-1,54","-1,79","-0,84","9,73E-11","1,04","1,47","1,77","1,43","0,52",
AT3G14440,"-1,21","-1,39","-1,78","-1,46","-0,54","1,63E-12","-2,96","-3,14","-2,88","-2,99","-1,58","5,80E-08"
AT5G47530,"-1,75","-1,56","-1,25","-1,52","-0,61","3,55E-09","1,21","1,88","1,43","1,51","0,59",
AT3G16670,"-1,52","-1,55","-1,21","-1,43","-0,51","2,62E-08","1,88","1,04","0,94","1,28","0,36",
AT2G40610,"-1,88","-1,94","-1,77","-1,86","-0,90","0,00E+00","1,63","0,69","1,18","1,17","0,22",
AT4G19030,"-1,35","-1,02","-1,64","-1,33","-0,42","0,00E+00","0,72","2,22","1,40","1,44","0,53",
AT4G24570,"-1,48","-1,51","-1,08","-1,36","-0,44","8,88E-12","2,16","1,97","1,40","1,84","0,88",
AT4G00080,"-1,78","-1,19","-1,54","-1,50","-0,59","0,00E+00","-2,46","-3,15","-2,23","-2,61","-1,39","5,63E-09"
